Rank,Category1,Category2,Name,Size,Calories,Sugars (g),Image,Dietary Fibre (g),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Protein (g),Caffeine (mg)
14,Cold Coffees,Cold Brews,Vanilla Sweet Cream Cold Brew,Tall,90,9,https://globalassets.starbucks.com/assets/3ee242d417904e7aa8f859fc1b07873c.jpg,,,,,,,,,
14,Cold Coffees,Cold Brews,Vanilla Sweet Cream Cold Brew,Grande,110,14,https://globalassets.starbucks.com/assets/3ee242d417904e7aa8f859fc1b07873c.jpg,,,,,,,,,
14,Cold Coffees,Cold Brews,Vanilla Sweet Cream Cold Brew,Venti,200,23,https://globalassets.starbucks.com/assets/3ee242d417904e7aa8f859fc1b07873c.jpg,,,,,,,,,
14,Cold Coffees,Cold Brews,Vanilla Sweet Cream Cold Brew,Trenta,210,26,https://globalassets.starbucks.com/assets/3ee242d417904e7aa8f859fc1b07873c.jpg,,,,,,,,,
28,Cold Coffees,Cold Brews,Cold Brew with Salted Cream Cold Foam,Tall,160,17,https://globalassets.starbucks.com/assets/6ffca0a4b4ec4af98d07c4e860baca45.jpg,,,,,,,,,
28,Cold Coffees,Cold Brews,Cold Brew with Salted Cream Cold Foam,Grande,230,23,https://globalassets.starbucks.com/assets/6ffca0a4b4ec4af98d07c4e860baca45.jpg,,,,,,,,,
28,Cold Coffees,Cold Brews,Cold Brew with Salted Cream Cold Foam,Venti,230,23,https://globalassets.starbucks.com/assets/6ffca0a4b4ec4af98d07c4e860baca45.jpg,,,,,,,,,
28,Cold Coffees,Cold Brews,Cold Brew with Salted Cream Cold Foam,Trenta,230,23,https://globalassets.starbucks.com/assets/6ffca0a4b4ec4af98d07c4e860baca45.jpg,,,,,,,,,
34,Cold Coffees,Cold Brews,Starbucks® Cold Brew Coffee,Tall,5,0,https://globalassets.starbucks.com/assets/83617bbfa2264197b745a1c2db04fa92.jpg,,,,,,,,,
34,Cold Coffees,Cold Brews,Starbucks® Cold Brew Coffee,Grande,5,0,https://globalassets.starbucks.com/assets/83617bbfa2264197b745a1c2db04fa92.jpg,,,,,,,,,
34,Cold Coffees,Cold Brews,Starbucks® Cold Brew Coffee,Venti,5,0,https://globalassets.starbucks.com/assets/83617bbfa2264197b745a1c2db04fa92.jpg,,,,,,,,,
34,Cold Coffees,Cold Brews,Starbucks® Cold Brew Coffee,Trenta,5,0,https://globalassets.starbucks.com/assets/83617bbfa2264197b745a1c2db04fa92.jpg,,,,,,,,,
16,Cold Coffees,Iced Lattes,Iced Coconutmilk Latte,Tall,70,6,https://globalassets.starbucks.com/assets/85ed6da0c69e456cb0d28dae8dd42fa0.jpg,,,,,,,,,
16,Cold Coffees,Iced Lattes,Iced Coconutmilk Latte,Grande,90,8,https://globalassets.starbucks.com/assets/85ed6da0c69e456cb0d28dae8dd42fa0.jpg,,,,,,,,,
16,Cold Coffees,Iced Lattes,Iced Coconutmilk Latte,Venti,160,11,https://globalassets.starbucks.com/assets/85ed6da0c69e456cb0d28dae8dd42fa0.jpg,,,,,,,,,
1,Cold Coffees,Iced Macchiatos,Iced Caramel Cloud Macchiato,Tall,120,17,https://globalassets.starbucks.com/assets/9777c1c7847440f3aab15f4488529a61.jpg,,,,,,,,,
1,Cold Coffees,Iced Macchiatos,Iced Caramel Cloud Macchiato,Grande,190,28,https://globalassets.starbucks.com/assets/9777c1c7847440f3aab15f4488529a61.jpg,,,,,,,,,
1,Cold Coffees,Iced Macchiatos,Iced Caramel Cloud Macchiato,Venti,240,35,https://globalassets.starbucks.com/assets/9777c1c7847440f3aab15f4488529a61.jpg,,,,,,,,,
15,Cold Drinks,Starbucks Refreshers™,Mango Dragonfruit Starbucks Refreshers® Beverage,Tall,70,15,https://globalassets.starbucks.com/assets/c4f8851c2cb04e3b89f6cea4acae55b2.jpg,,,,,,,,,
15,Cold Drinks,Starbucks Refreshers™,Mango Dragonfruit Starbucks Refreshers® Beverage,Grande,90,19,https://globalassets.starbucks.com/assets/c4f8851c2cb04e3b89f6cea4acae55b2.jpg,,,,,,,,,
15,Cold Drinks,Starbucks Refreshers™,Mango Dragonfruit Starbucks Refreshers® Beverage,Venti,130,27,https://globalassets.starbucks.com/assets/c4f8851c2cb04e3b89f6cea4acae55b2.jpg,,,,,,,,,
15,Cold Drinks,Starbucks Refreshers™,Mango Dragonfruit Starbucks Refreshers® Beverage,Trenta,180,38,https://globalassets.starbucks.com/assets/c4f8851c2cb04e3b89f6cea4acae55b2.jpg,,,,,,,,,
36,Cold Drinks,Starbucks Refreshers™,Pink Drink,Tall,110,19,https://globalassets.starbucks.com/assets/3fee4c21a1cb4ad294e32c727aec0cdd.jpg,,,,,,,,,
36,Cold Drinks,Starbucks Refreshers™,Pink Drink,Grande,140,24,https://globalassets.starbucks.com/assets/3fee4c21a1cb4ad294e32c727aec0cdd.jpg,,,,,,,,,
36,Cold Drinks,Starbucks Refreshers™,Pink Drink,Venti,200,35,https://globalassets.starbucks.com/assets/3fee4c21a1cb4ad294e32c727aec0cdd.jpg,,,,,,,,,
36,Cold Drinks,Starbucks Refreshers™,Pink Drink,Trenta,270,48,https://globalassets.starbucks.com/assets/3fee4c21a1cb4ad294e32c727aec0cdd.jpg,,,,,,,,,
37,Cold Drinks,Starbucks Refreshers™,Strawberry Açaí Starbucks Refreshers® Iced Beverage,Tall,80,16,https://globalassets.starbucks.com/assets/17827bf308ad464a9ef8bf4030ca9b72.jpg,1,0,0,0,0,10,18,0,35
37,Cold Drinks,Starbucks Refreshers™,Strawberry Açaí Starbucks Refreshers® Iced Beverage,Grande,90,20,https://globalassets.starbucks.com/assets/17827bf308ad464a9ef8bf4030ca9b72.jpg,1,0,0,0,0,15,23,0,45
37,Cold Drinks,Starbucks Refreshers™,Strawberry Açaí Starbucks Refreshers® Iced Beverage,Venti,130,30,https://globalassets.starbucks.com/assets/17827bf308ad464a9ef8bf4030ca9b72.jpg,1,0,0,0,0,20,33,0,70
37,Cold Drinks,Starbucks Refreshers™,Strawberry Açaí Starbucks Refreshers® Iced Beverage,Trenta,190,41,https://globalassets.starbucks.com/assets/17827bf308ad464a9ef8bf4030ca9b72.jpg,2,0,0,0,0,30,46,0,90
3,Frappuccino® Blended Beverages,Coffee Frappuccino®,Mocha Frappuccino® Blended Beverage,Tall,240,35,https://globalassets.starbucks.com/assets/fd4d97f22e8f476b874352258a3f0672.jpg,,,,,,,,,
3,Frappuccino® Blended Beverages,Coffee Frappuccino®,Mocha Frappuccino,Grande,370,52,https://globalassets.starbucks.com/assets/fd4d97f22e8f476b874352258a3f0672.jpg,,,,,,,,,
3,Frappuccino® Blended Beverages,Coffee Frappuccino®,Mocha Frappuccino,Venti,460,69,https://globalassets.starbucks.com/assets/fd4d97f22e8f476b874352258a3f0672.jpg,,,,,,,,,
6,Frappuccino® Blended Beverages,Coffee Frappuccino®,Smoked Butterscotch Frappuccino,Tall,290,40,https://globalassets.starbucks.com/assets/ec23fe863389403f81e6776528cfdcf3.jpg,,,,,,,,,
6,Frappuccino® Blended Beverages,Coffee Frappuccino®,Smoked Butterscotch Frappuccino,Grande,420,59,https://globalassets.starbucks.com/assets/ec23fe863389403f81e6776528cfdcf3.jpg,,,,,,,,,
6,Frappuccino® Blended Beverages,Coffee Frappuccino®,Smoked Butterscotch Frappuccino,Venti,510,75,https://globalassets.starbucks.com/assets/ec23fe863389403f81e6776528cfdcf3.jpg,,,,,,,,,
7,Frappuccino® Blended Beverages,Coffee Frappuccino®,Caramel Ribbon Crunch Frappuccino,Tall,330,43,https://globalassets.starbucks.com/assets/bdc7fcf962884211ab83918d34f73393.jpg,,,,,,,,,
7,Frappuccino® Blended Beverages,Coffee Frappuccino®,Caramel Ribbon Crunch Frappuccino,Grande,470,62,https://globalassets.starbucks.com/assets/bdc7fcf962884211ab83918d34f73393.jpg,,,,,,,,,
7,Frappuccino® Blended Beverages,Coffee Frappuccino®,Caramel Ribbon Crunch Frappuccino,Venti,570,80,https://globalassets.starbucks.com/assets/bdc7fcf962884211ab83918d34f73393.jpg,,,,,,,,,
30,Frappuccino® Blended Beverages,Coffee Frappuccino®,Caramel Frappuccino® Blended Beverage,Tall,260,38,https://globalassets.starbucks.com/assets/6ab7d70c4fff435faf090a2f1a6f30d5.jpg,,,,,,,,,
30,Frappuccino® Blended Beverages,Coffee Frappuccino®,Caramel Frappuccino® Blended Beverage,Grande,370,55,https://globalassets.starbucks.com/assets/6ab7d70c4fff435faf090a2f1a6f30d5.jpg,,,,,,,,,
30,Frappuccino® Blended Beverages,Coffee Frappuccino®,Caramel Frappuccino® Blended Beverage,Venti,470,73,https://globalassets.starbucks.com/assets/6ab7d70c4fff435faf090a2f1a6f30d5.jpg,,,,,,,,,
