Beverage_category,Beverage,Notes,Image,Beverage_prep_size,Beverage_prep_milk,Is_default,Calories,Total Fat (g),Trans Fat (g),Saturated Fat (g),Sodium (mg),Total Carbohydrates (g),Cholesterol (mg),Dietary Fibre (g),Sugars (g),Protein (g),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV),Caffeine (mg)
Coffee,Brewed Coffee,,https://globalassets.starbucks.com/assets/abb4f97948c948c28ea2dcaf933c4f6b.jpg,Short,,,3,0.1,0,0,0,5,0,0,0,0.3,0%,0%,0%,0%,175
Coffee,Brewed Coffee,,https://globalassets.starbucks.com/assets/abb4f97948c948c28ea2dcaf933c4f6b.jpg,Tall,,,4,0.1,0,0,0,10,0,0,0,0.5,0%,0%,0%,0%,260
Coffee,Brewed Coffee,,https://globalassets.starbucks.com/assets/abb4f97948c948c28ea2dcaf933c4f6b.jpg,Grande,,Y,5,0.1,0,0,0,10,0,0,0,1,0%,0%,0%,0%,330
Coffee,Brewed Coffee,,https://globalassets.starbucks.com/assets/abb4f97948c948c28ea2dcaf933c4f6b.jpg,Venti,,,5,0.1,0,0,0,10,0,0,0,1,0%,0%,2%,0%,410
Classic Espresso Drinks,Caffè Latte,,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Short,Nonfat Milk,,70,0.1,0.1,0,5,75,10,0,9,6,10%,0%,20%,0%,75
Classic Espresso Drinks,Caffè Latte,,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Short,2% Milk,,100,3.5,2,0.1,15,85,10,0,9,6,10%,0%,20%,0%,75
Classic Espresso Drinks,Caffè Latte,,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Short,Soymilk,,70,2.5,0.4,0,0,65,6,1,4,5,6%,0%,20%,8%,75
Classic Espresso Drinks,Caffè Latte,,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Tall,Nonfat Milk,,100,0.2,0.2,0,5,120,15,0,14,10,15%,0%,30%,0%,75
Classic Espresso Drinks,Caffè Latte,,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Tall,2% Milk,,150,6,3,0.2,25,135,15,0,14,10,15%,0%,30%,0%,75
Classic Espresso Drinks,Caffè Latte,,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Tall,Soymilk,,110,4.5,0.5,0,0,105,10,1,6,8,10%,0%,30%,15%,75
Classic Espresso Drinks,Caffè Latte,,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Grande,Nonfat Milk,,130,0.3,0.2,0,5,150,19,0,18,13,20%,0%,40%,0%,150
Classic Espresso Drinks,Caffè Latte,,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Grande,2% Milk,Y,190,7,3.5,0.2,30,170,19,0,17,12,20%,2%,40%,0%,150
Classic Espresso Drinks,Caffè Latte,,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Grande,Soymilk,,150,5,0.5,0,0,130,13,1,8,10,15%,0%,40%,15%,150
Classic Espresso Drinks,Caffè Latte,,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Venti,Nonfat Milk,,170,0.4,0.3,0,10,190,25,0,23,16,30%,0%,50%,0%,150
Classic Espresso Drinks,Caffè Latte,,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Venti,2% Milk,,240,9,4.5,0.3,35,220,24,0,22,16,25%,2%,50%,0%,150
Classic Espresso Drinks,Caffè Latte,,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Venti,Soymilk,,190,7,1,0,0,170,16,2,11,13,20%,0%,50%,25%,150
Classic Espresso Drinks,Caffè Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/f4ec500b34624242b15c2d29e53f3c48.jpg,Short,Nonfat Milk,,110,1.5,1,0,5,60,21,1,17,7,8%,0%,15%,10%,85
Classic Espresso Drinks,Caffè Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/f4ec500b34624242b15c2d29e53f3c48.jpg,Short,2% Milk,,130,4,2,0.1,10,70,21,1,17,6,8%,0%,15%,10%,85
Classic Espresso Drinks,Caffè Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/f4ec500b34624242b15c2d29e53f3c48.jpg,Short,Soymilk,,110,3.5,1,0,0,55,19,2,13,6,6%,0%,15%,20%,85
Classic Espresso Drinks,Caffè Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/f4ec500b34624242b15c2d29e53f3c48.jpg,Tall,Nonfat Milk,,170,2,1,0,5,100,32,1,27,10,15%,0%,25%,20%,95
Classic Espresso Drinks,Caffè Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/f4ec500b34624242b15c2d29e53f3c48.jpg,Tall,2% Milk,,200,6,3.5,0.1,20,115,32,1,26,10,15%,0%,25%,20%,95
Classic Espresso Drinks,Caffè Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/f4ec500b34624242b15c2d29e53f3c48.jpg,Tall,Soymilk,,180,5,1.5,0,0,85,28,2,20,9,10%,0%,25%,30%,95
Classic Espresso Drinks,Caffè Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/f4ec500b34624242b15c2d29e53f3c48.jpg,Grande,Nonfat Milk,,220,2.5,1.5,0,5,125,43,2,34,13,20%,0%,35%,25%,175
Classic Espresso Drinks,Caffè Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/f4ec500b34624242b15c2d29e53f3c48.jpg,Grande,2% Milk,Y,260,8,4.5,0.2,25,140,42,2,34,13,15%,2%,35%,25%,175
Classic Espresso Drinks,Caffè Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/f4ec500b34624242b15c2d29e53f3c48.jpg,Grande,Soymilk,,230,7,2,0,0,105,37,3,26,11,10%,0%,35%,40%,175
Classic Espresso Drinks,Caffè Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/f4ec500b34624242b15c2d29e53f3c48.jpg,Venti,Nonfat Milk,,280,3,2,0,10,160,54,2,44,17,25%,0%,45%,30%,180
Classic Espresso Drinks,Caffè Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/f4ec500b34624242b15c2d29e53f3c48.jpg,Venti,2% Milk,,340,11,6,0.2,30,180,53,2,43,17,20%,2%,45%,30%,180
Classic Espresso Drinks,Caffè Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/f4ec500b34624242b15c2d29e53f3c48.jpg,Venti,Soymilk,,290,9,2.5,0,0,140,47,4,33,14,15%,0%,45%,50%,180
Classic Espresso Drinks,Vanilla Latte,Or Other Flavoured Latte,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Short,Nonfat Milk,,100,0.1,0.1,0,5,70,19,0,18,6,10%,0%,20%,0%,75
