Beverage_category,Beverage,Image,min_calories,max_calories,min_prep,min_prep_size,min_prep_milk,max_prep,max_prep_size,max_prep_milk,,,,,,,,,,,,,,,,
Coffee,Brewed Coffee,,3,5,,Short,,,Venti,,,,,,,,,,,,,,,,,
Classic Espresso Drinks,Caffè Latte,,70,240,,Short,Nonfat Milk,,Venti,2% Milk,,,,,,,,,,,,,,,,
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),,110,340,,Short,Nonfat Milk,,Venti,2% Milk,,,,,,,,,,,,,,,,
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),,100,320,,Short,Nonfat Milk,,Venti,2% Milk,,,,,,,,,,,,,,,,
Classic Espresso Drinks,Caffè Americano,https://globalassets.starbucks.com/assets/f12bc8af498d45ed92c5d6f1dac64062.jpg,5,25,,Short,,,Venti,,,,,,,,,,,,,,,,,
Classic Espresso Drinks,Cappuccino,,50,150,,Short,Nonfat Milk,,Venti,2% Milk,,,,,,,,,,,,,,,,
Classic Espresso Drinks,Espresso,,5,10,,Solo,Solo,,Doppio,Doppio,,,,,,,,,,,,,,,,
Classic Espresso Drinks,Skinny Latte (Any Flavour),,60,160,,Short,Nonfat Milk,,Venti,Nonfat Milk,,,,,,,,,,,,,,,,
Signature Espresso Drinks,Caramel Macchiato,,100,300,,Short,Nonfat Milk,,Venti,2% Milk,,,,,,,,,,,,,,,,
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),,180,510,,Short,Nonfat Milk,,Venti,2% Milk,,,,,,,,,,,,,,,,
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),,130,380,,Short,Nonfat Milk,,Venti,2% Milk,,,,,,,,,,,,,,,,
Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),,140,360,,Short,,,Venti,,,,,,,,,,,,,,,,,
Tazo® Tea Drinks,Tazo® Tea,,0,0,,Short,,,Venti,,,,,,,,,,,,,,,,,
Tazo® Tea Drinks,Tazo® Chai Tea Latte,,100,310,,Short,Nonfat Milk,,Venti,2% Milk,,,,,,,,,,,,,,,,
Tazo® Tea Drinks,Tazo® Green Tea Latte,,130,450,,Short,Nonfat Milk,,Venti,2% Milk,,,,,,,,,,,,,,,,
Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,,80,230,,Short,Nonfat Milk,,Venti,2% Milk,,,,,,,,,,,,,,,,
Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),,80,230,,Short,Nonfat Milk,,Venti,2% Milk,,,,,,,,,,,,,,,,
Shaken Iced Beverages,Iced Brewed Coffee (With Classic Syrup),,60,130,,Tall,,,Venti,,,,,,,,,,,,,,,,,
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),,80,180,,Short,Nonfat Milk,,Venti,2% Milk,,,,,,,,,,,,,,,,
Shaken Iced Beverages,Shaken Iced Tazo® Tea (With Classic Syrup),,60,120,,Tall,,,Venti,,,,,,,,,,,,,,,,,
Shaken Iced Beverages,Shaken Iced Tazo® Tea Lemonade (With Classic Syrup),,100,190,,Tall,,,Venti,2% Milk,,,,,,,,,,,,,,,,
Smoothies,Banana Chocolate Smoothie,,280,300,,Grande,Nonfat Milk,,Grande,2% Milk,,,,,,,,,,,,,,,,
Smoothies,Orange Mango Banana Smoothie,,260,270,,Grande,Nonfat Milk,,Grande,2% Milk,,,,,,,,,,,,,,,,
Smoothies,Strawberry Banana Smoothie,,290,290,,Grande,Nonfat Milk,,Grande,2% Milk,,,,,,,,,,,,,,,,
Frappuccino® Blended Coffee,Coffee,,160,350,,Tall,Nonfat Milk,,Venti,Nonfat Milk,,,,,,,,,,,,,,,,
Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),,180,390,,Tall,Nonfat Milk,,Venti,Nonfat Milk,,,,,,,,,,,,,,,,
Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),,180,370,,Tall,Nonfat Milk,,Venti,Nonfat Milk,,,,,,,,,,,,,,,,
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),,220,460,,Tall,Nonfat Milk,,Venti,Nonfat Milk,,,,,,,,,,,,,,,,
Frappuccino® Light Blended Coffee,Frappuccino® Light Blended Coffee,,90,160,,Tall,Nonfat Milk,,Venti,Whole Milk,,,,,,,,,,,,,,,,
Frappuccino® Light Blended Coffee,Frappuccino® Light Blended Coffee Mocha,,110,210,,Tall,Nonfat Milk,,Venti,Whole Milk,,,,,,,,,,,,,,,,
Frappuccino® Light Blended Coffee,Frappuccino® Light Blended Coffee Caramel,,100,200,,Tall,Nonfat Milk,,Venti,Whole Milk,,,,,,,,,,,,,,,,
Frappuccino® Light Blended Coffee,Frappuccino® Light Blended Coffee Java Chip,,150,290,,Tall,Nonfat Milk,,Venti,Whole Milk,,,,,,,,,,,,,,,,
Frappuccino® Blended Crème,Frappuccino Strawberries & Crème (Without Whipped Cream),,170,350,,Tall,Nonfat Milk,,Venti,Whole Milk,,,,,,,,,,,,,,,,
Frappuccino® Blended Crème,Frappuccino Vanilla Bean (Without Whipped Cream),,170,240,,Tall,Nonfat Milk,,Venti,Whole Milk,,,,,,,,,,,,,,,,
