Rank,Temperature,Category1,Category2,Name,Short Name,Size,Calories,Calories_Modified,Sugars (g),Image,Dietary Fibre (g),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Protein (g),Caffeine (mg)
34,Cold,Cold Coffees,Cold Brews,Cold Brew Coffee,,Grande,5,0,0,https://globalassets.starbucks.com/assets/83617bbfa2264197b745a1c2db04fa92.jpg,,,,,,,,,
,Cold,Cold Coffees,Cold Brews,Cold Brew Coffee with Milk,,Grande,35,35,3,https://globalassets.starbucks.com/assets/de574746527d4960a7d838f271e3491c.jpg,,,,,,,,,
28,Cold,Cold Coffees,Cold Brews,Cold Brew with Salted Cream Cold Foam,,Grande,230,230,23,https://globalassets.starbucks.com/assets/6ffca0a4b4ec4af98d07c4e860baca45.jpg,,,,,,,,,
,Cold,Cold Coffees,Cold Brews,Cold Brew with Salted Honey Cold Foam,,Grande,40,40,7,https://globalassets.starbucks.com/assets/1f3d15ed2b534aaab4cbc8fbf2b8cccb.jpg,,,,,,,,,
,Cold,Cold Coffees,Cold Brews,Nitro Cold Brew,,Grande,5,42.5,0,https://globalassets.starbucks.com/assets/85ae42ce9eb5423d83c4410f7b561882.jpg,,,,,,,,,
,Cold,Cold Coffees,Cold Brews,Nitro Cold Brew with Salted Cream Cold Foam,,Grande,230,45,23,https://globalassets.starbucks.com/assets/1791fd99e33248be844d360c90429bcd.jpg,,,,,,,,,
,Cold,Cold Coffees,Cold Brews,Nitro Cold Brew with Salted Honey Cold Foam,,Grande,40,47.5,7,https://globalassets.starbucks.com/assets/1697f7c55887448684fed85ecdd98e44.jpg,,,,,,,,,
,Cold,Cold Coffees,Cold Brews,Nitro Cold Brew with Sweet Cream,,Grande,70,70,4,https://globalassets.starbucks.com/assets/31d2824c896147fbaad4a1eac1ab1174.jpg,,,,,,,,,
,Cold,Cold Coffees,Cold Brews,Reserve® Cold Brew,,Grande,5,72.5,0,https://globalassets.starbucks.com/assets/65fc074f721f41afb23db6981c600ce7.jpg,,,,,,,,,
,Cold,Cold Coffees,Cold Brews,Reserve® Nitro Cold Brew,,Grande,5,75,0,https://globalassets.starbucks.com/assets/55525cd1303a4b18958b05f0705b4cbb.jpg,,,,,,,,,
14,Cold,Cold Coffees,Cold Brews,Vanilla Sweet Cream Cold Brew,,Grande,110,110,14,https://globalassets.starbucks.com/assets/3ee242d417904e7aa8f859fc1b07873c.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Americano,Iced Blonde Caffè Americano,Blonde Caffè Americano,Grande,15,15,0,https://globalassets.starbucks.com/assets/84ede138768e42ebb2e0366c2f09960a.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Americano,Iced Caffè Americano,Caffè Americano,Grande,15,17.5,0,https://globalassets.starbucks.com/assets/84ede138768e42ebb2e0366c2f09960a.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Coffees,Iced Coffee,,Grande,80,80,20,https://globalassets.starbucks.com/assets/2c626225a4804e5abd8e93e7fd59a0a2.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Coffees,Iced Coffee with Milk,,Grande,110,82.5,23,https://globalassets.starbucks.com/assets/cc9b573f8c1b43cd89cdab08ae5b9ec7.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Espresso Shots,Blonde Doubleshot® On Ice,,Grande,,,,https://globalassets.starbucks.com/assets/c8d2c8fa22ee4f4c864dee6dac5a1868.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Espresso Shots,Doubleshot® on Ice,,Grande,100,100,18,https://globalassets.starbucks.com/assets/c8d2c8fa22ee4f4c864dee6dac5a1868.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Espresso Shots,Iced Espresso,Espresso,Doppio,10,10,0,https://globalassets.starbucks.com/assets/6a320073ec4b47e7bb9e6eb9e5e74e96.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Flat Whites,Iced Almondmilk Honey Flat White,Almondmilk Honey Flat White,Grande,140,140,22,https://globalassets.starbucks.com/assets/278a67a4f04948748626b3e0a2582182.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Flat Whites,Iced Almondmilk Honey Flat White with Blonde Espresso,Almondmilk Honey Flat White with Blonde Espresso,Grande,120,120,18,https://globalassets.starbucks.com/assets/278a67a4f04948748626b3e0a2582182.jpg,,,,,,,,,
