Category1,Category2,Name,Calories,Image
Bakery,Bagels,Blueberry Bagel,270,https://globalassets.starbucks.com/assets/3bf55b5c24c44a6caa18acb357295f47.jpg
Bakery,Bagels,"Cheese, Onion & Garlic Bagel",300,https://globalassets.starbucks.com/assets/738d89c837874a4ab31044808764b6fb.jpg
Bakery,Bagels,Cinnamon Raisin Bagel,270,https://globalassets.starbucks.com/assets/b4bce2e2d28141e79b64f9e2de4a789c.jpg
Bakery,Bagels,Everybody's Favorite – Bantam Bagel,200,https://globalassets.starbucks.com/assets/d4d80b7e77ac4773844defc54f63302a.jpg
Bakery,Bagels,Everything Bagel,290,https://globalassets.starbucks.com/assets/aab900db615743f4a870b09ef8885436.jpg
Bakery,Bagels,Plain Bagel,280,https://globalassets.starbucks.com/assets/2362e79aa0ab4c37a930956c67ab557a.jpg
Bakery,Bagels,Sprouted Grain Vegan Bagel,330,https://globalassets.starbucks.com/assets/b671f44e46bf4a0182dbf9ba869fde55.jpg
Bakery,Bagels,The Classic – Bantam Bagels,220,https://globalassets.starbucks.com/assets/c32ce421bb5a4824b419bf57ddf679a6.jpg
Bakery,Cakes & Pies,Blueberry Oat Cake,390,https://globalassets.starbucks.com/assets/3d22f1a47ee5427a803fce0b5eea5375.jpg
Bakery,Cakes & Pies,Chocolate Cake Pop,160,https://globalassets.starbucks.com/assets/9ca96bf78afb4b91975946fd4528c24d.jpg
Bakery,Cakes & Pies,Chocolate Chip Cookie Dough Cake Pop,180,https://globalassets.starbucks.com/assets/bad503a25ffc48329d9ef4991af859f8.jpg
Bakery,Cakes & Pies,Classic Coffee Cake,330,https://globalassets.starbucks.com/assets/f245bb86e2b74e42b8e6888f886930ef.jpg
Bakery,Cakes & Pies,Iced Lemon Loaf Cake,470,https://globalassets.starbucks.com/assets/c636153c255049a487da5db5b9d5f631.jpg
Bakery,Cakes & Pies,Lemon Cake Pop,140,https://globalassets.starbucks.com/assets/c6cce54f34c84ecfb4ce8d4749b32346.jpg
Bakery,Cakes & Pies,Red Velvet Loaf Cake,410,https://globalassets.starbucks.com/assets/94a08a1ea84f465f86fdfe22c035598c.jpg
Bakery,Cakes & Pies,Valentine Cake Pop,150,https://globalassets.starbucks.com/assets/146bf1cfeb1a497ca1a5f23e25cdfd79.jpg
Bakery,Cookies & Brownies,Chocolate Chip Cookie,360,https://globalassets.starbucks.com/assets/7274a0da5453434aaa63b133edd3ce5c.jpg
Bakery,Cookies & Brownies,Confetti Sugar Cookie,410,https://globalassets.starbucks.com/assets/d118782eff764ea58e1039eb22d1c908.jpg
Bakery,Cookies & Brownies,Double Chocolate Chunk Brownie,480,https://globalassets.starbucks.com/assets/4256a71a589b4d8bb5d92f967e548522.jpg
Bakery,Croissants,Almond Croissant,420,https://globalassets.starbucks.com/assets/2637b25fc9da4e8d981d1ff02f73a619.jpg
Bakery,Croissants,Butter Croissant,260,https://globalassets.starbucks.com/assets/e39e1d6044634535a027301d982c5842.jpg
Bakery,Croissants,Cheese Danish,290,https://globalassets.starbucks.com/assets/b87eeb626b344c4a8ccb042e4aff4ab9.jpg
Bakery,Croissants,Chocolate Croissant,340,https://globalassets.starbucks.com/assets/11a5dc6219434a4cbf81b195c14a393e.jpg
Bakery,Croissants,Ham & Cheese Croissant,320,https://globalassets.starbucks.com/assets/4ad44b1732ba425d9d095f3fa0a09771.jpg
Bakery,Dessert Bars,Marshmallow Dream Bar,230,https://globalassets.starbucks.com/assets/6d602f5b0d9f414598ea9c85656dbcac.jpg
Bakery,Doughnuts,Old-Fashioned Glazed Doughnut,480,https://globalassets.starbucks.com/assets/1525945a0a0342eaa028aa20053b982f.jpg
Bakery,Muffins & Breads,8-Grain Roll,340,https://globalassets.starbucks.com/assets/29fa35ab515142d08fdef458e80efc6e.jpg
Bakery,Muffins & Breads,Banana Nut Bread,420,https://globalassets.starbucks.com/assets/eef689b61a0b4e71bfab30a20f89b589.jpg
Bakery,Muffins & Breads,Blueberry Muffin,360,https://globalassets.starbucks.com/assets/cb37d4624bec4ad083539fb8b983a3a8.jpg
Bakery,Muffins & Breads,Morning Bun,420,https://globalassets.starbucks.com/assets/6ccf148195104215bec94fbcdb3201fe.jpg
Bakery,Muffins & Breads,Pumpkin Bread,410,https://globalassets.starbucks.com/assets/4165130852f94823b3528abc3b9eb819.jpg
Bakery,Scones,Blueberry Scone,380,https://globalassets.starbucks.com/assets/be269a8f32c14f0cb58b81a50d1d100e.jpg
Bakery,Scones,Petite Vanilla Bean Scone,120,https://globalassets.starbucks.com/assets/16c051a3e36d4ee0ba4007396fe9f479.jpg
Hot Breakfast,Breakfast Sandwiches & Wraps,"Bacon, Gouda & Egg Sandwich",370,https://globalassets.starbucks.com/assets/76909e4b00b5430faef132b2fa93e40b.jpg
Hot Breakfast,Breakfast Sandwiches & Wraps,"Bacon, Sausage & Egg Wrap",650,https://globalassets.starbucks.com/assets/27bd607e92354742bc8cf46b23f4ce39.jpg
Hot Breakfast,Breakfast Sandwiches & Wraps,Chicken Sausage & Bacon Biscuit,450,https://globalassets.starbucks.com/assets/120c7a611a5c4205b9e1a46355592b90.jpg
Hot Breakfast,Breakfast Sandwiches & Wraps,"Double-Smoked Bacon, Cheddar & Egg Sandwich",510,https://globalassets.starbucks.com/assets/a37c3ec673fa42f98f3b123a7d7ebbfe.jpg
Hot Breakfast,Breakfast Sandwiches & Wraps,Reduced-Fat Turkey Bacon & Cage-Free Egg White Sandwich,230,https://globalassets.starbucks.com/assets/b7e25a03655741869ced8dfde8c70659.jpg
Hot Breakfast,Breakfast Sandwiches & Wraps,"Roasted Ham, Swiss & Egg Sandwich",460,https://globalassets.starbucks.com/assets/37470b5347354e6890025ae7e90f0fa4.jpg
Hot Breakfast,Breakfast Sandwiches & Wraps,"Sausage, Cheddar & Egg Sandwich",480,https://globalassets.starbucks.com/assets/c96aed66f1bf4ba3a9a545a497873ede.jpg
Hot Breakfast,Breakfast Sandwiches & Wraps,Southwest Veggie Wrap,580,https://globalassets.starbucks.com/assets/e476519ecaa9441c955b585840cc2524.jpg
Hot Breakfast,Breakfast Sandwiches & Wraps,"Spicy Chorizo, Monterey Jack & Egg Sandwich",470,https://globalassets.starbucks.com/assets/87c1899ef5614367b60c3d61d6624af7.jpg
Hot Breakfast,Breakfast Sandwiches & Wraps,"Spinach, Feta & Cage-Free Egg White Wrap",280,https://globalassets.starbucks.com/assets/e4583a7fdc89458983fdacb248debb10.jpg
Hot Breakfast,Egg Bites,Bacon & Gruyère Sous Vide Egg Bites,300,https://globalassets.starbucks.com/assets/ff22cb70c2fe4ba6b3d30150b0cf89cf.jpg
